model,accuracy,macro_precision,macro_recall,macro_f1,training_time_seconds,validation_inference_time_seconds
TF-IDF + Logistic Regression,0.8735339112697603,0.8770137416934117,0.8700310465064617,0.870211690197899,1.0099599000000126,0.0020199000000502565
TF-IDF + Multinomial Naive Bayes,0.8368179500254972,0.8599769816143014,0.8177610337407583,0.8225705276784722,0.024154599999747006,0.0020513999998001964
