model,accuracy,macro_precision,macro_recall,macro_f1,training_time_seconds,validation_inference_time_seconds
TF-IDF + Logistic Regression,0.8735339112697603,0.8770137416934117,0.8700310465064617,0.870211690197899,0.8701656000000071,0.0019724999999652937
TF-IDF + Multinomial Naive Bayes,0.8368179500254972,0.8599769816143014,0.8177610337407583,0.8225705276784722,0.02391019999998889,0.0017287000000010266
TF-IDF + Linear SVM,0.8903620601733809,0.8903119028897961,0.8881427091364789,0.8876104097881342,0.3788200000000188,0.0017176999999719555
