true_category,predicted_category,error_count
getting_spare_card,order_physical_card,1
getting_spare_card,direct_debit_payment_not_recognised,1
getting_spare_card,activate_my_card,1
get_physical_card,pin_blocked,1
get_disposable_virtual_card,virtual_card_not_working,1
get_disposable_virtual_card,getting_virtual_card,1
activate_my_card,card_arrival,1
fiat_currency_support,country_support,1
disposable_card_limits,getting_spare_card,1
failed_transfer,pending_transfer,1
card_delivery_estimate,transfer_timing,1
extra_charge_on_statement,wrong_amount_of_cash_received,1
extra_charge_on_statement,top_up_reverted,1
exchange_via_app,supported_cards_and_currencies,1
exchange_via_app,exchange_charge,1
exchange_rate,receiving_money,1
exchange_rate,fiat_currency_support,1
exchange_rate,exchange_charge,1
exchange_charge,transfer_fee_charged,1
exchange_charge,exchange_via_app,1
exchange_charge,exchange_rate,1
edit_personal_details,lost_or_stolen_phone,1
disposable_card_limits,virtual_card_not_working,1
fiat_currency_support,exchange_via_app,1
